id,sentence
0,Nous dûmes nous excuser des propos que nous eûmes prononcés
1,Vous ne pouvez pas savoir le plaisir que j'ai de recevoir cette bonne nouvelle.
2,"Et, paradoxalement, boire froid n'est pas la bonne parade."
3,"Ce n'est pas étonnant, car c'est une saison mystérieuse"
4,"Le corps de Golo lui-même, d'une essence aussi surnaturelle que celui de sa monture, s'arrangeait de tout obstacle matériel, de tout objet gênant qu'il rencontrait en le prenant comme ossature et en se le rendant intérieur, fût-ce le bouton de la porte sur lequel s'adaptait aussitôt et surnageait invinciblement sa robe rouge ou sa figure pâle toujours aussi noble et aussi mélancolique, mais qui ne laissait paraître aucun trouble de cette transvertébration."
5,"Elle jeta un cri, un petit cri, voulut se dresser, se débattre, le repousser ; puis elle céda, comme si la force lui eût manqué pour résister plus longtemps."
6,"Madame, Monsieur, Votre fils Léo arrive tous les jours en retard à l'école."
7,Comment tu as trouvé le repas de ce midi
8,"Mais la racine du mal est bel est bien cette façon de penser tendant vers un manichéisme néfaste, néfaste car le respect des opinions divergentes et le débat s'estompent au profit de l'extrémisme et l'uniformisme de la pensée"
9,"Je ne peux pas vous laisser dire cela, Madame."
10,Est-ce que ça suffit?
11,Tu as rempli le pot d'eau et tu as mis des glaçons.
12,"Pourtant, sur cette distance, le vélo est le mode de transport le plus performant en milieu urbain et semi-urbain."
13,"Jeune retraité de l'éducation nationale, Roger Rougier a sa réponse"
14,Un enfant est drôle.
15,"Le jeudi est comme le mardi, on ne fait qu'aller à l'école"
16,"En tombant, certains arbres ont écrasé des structures, ont écrasé d'autres arbres"
17,Je dois acheter un tube de peinture bleue pour finir ce tableau.
18,"Elle s'appelle Joy, on parlait de tout, on s'entendait super bien !"
19,"Elle a trois enfants, deux garçons et une fille."
20,"Et, dans le mirage confus où s'égaraient ses espérances, espérances de grandeur, de succès, de renommée, de fortune et d'amour, il aperçut tout à coup, pareille à ces guirlandes de figurantes qui se déroulent dans le ciel des apothéoses, une procession de femmes élégantes, riches, puissantes, qui passaient en souriant pour disparaître l'une après l'autre au fond du nuage doré de ses rêves."
21,"Si six scies scient six cyprès, six cent six scies scient six cent six cyprès !"
22,La sixième Semaine pour l'emploi en leur faveur entend les combattre.
23,Des sanctions administratives et des ordonnances pénales sont possibles si des nouveaux détenteurs de chiens renoncent à suivre la formation ou à l'achever.
24,"Quand l'ange apparaît la deuxième fois, que conseille-t-il au pêcheur ?"
25,"L'homme fait regarder son sexe comme un symbole de transcendance et de puissance il en tire vanitécomme d'un muscle strié et en même temps comme d'une grâce magique : c'est une liberté riche de toute la contingence du donné, un donné librement voulu ; c'est sous cet aspect contradictoire qu'il s'en enchante ; mais il en soupçonne le leurre ; cet organe par lequel il prétend s'affirmer ne lui obéit pas ; lourd de désirs inassouvis, s'érigeant inopinément, parfois se soulageant en rêve, il manifeste une vitalité suspecte et capricieuse."
26,Ils aiment passer des journées ensemble au bord de la mer
27,Il est 17h
28,Vous sortîtes précipitamment après que vous eûtes mis votre chapeau
29,Tu retireras ton chapeau en feutre et tes gants en cuire et tu t'assiéras en silence.
30,Je suis tout à fait d'accord.
31,Un orphelin : un orphelin est un enfant qui a perdu un de ses deux parents ou ses deux parents.
32,"Excusez-moi, je me suis perdu. Pouvez-vous m'aider ?"
33,Mais le monde ne fonctionne pas toujours ainsi.
34,J'ai perdu la boîte dans laquelle j'avais mis mes bijoux.
35,Elle a décidé de s'y installer.
36,"Le plasma ainsi conservé ne pourra être utilisé que lorsque le deuxième don du donneur, quatre mois après le premier, n'aura révélé aucun marqueur infectieux."
37,Les journalistes ont voulu savoir s'ils pouvaient le rencontrer.
38,Tu aimes ma nouvelle robe ?
39,"Il vit à Paris avec ses parents et sa petite soeur Julie, âgée de 8 ans."
40,"On ne peut pas tout faire pendant les heures de cours, ce qui me pose un problème, en vue de la journée scolaire."
41,"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche. Avec la chaleur estivale, cette journée d'exploration se révèle très fatigante !"
42,"Cet homme fut grossier ! Quand je parlai, il m'interrompit."
43,"En 2001, Rosalie a expliqué à l'ONU, auprès du groupe de travail sur les peuples autochtones, en quoi la survie des bisons sauvages est essentielle et symbolique pour les Indiens des plaines Le bison a toujours été un animal sacré pour les Indiens des plaines, crucial dans leur culture."
44,"""Nous sommes avant tout des êtres visuels, rétiniens, et nous oublions souvent que l'audition et donc le son, l'acoustique jouent un rôle sur notre perception de l'environnement, remarque Christian Hugonnet, président de la Semaine du son, qui se tient du 21 janvier au 3 février 2019."
45,"On peut voir entre autres le bréviaire manuscrit conservé à la bibliothèque du grand séminaire de Malines, ainsi que plusieurs incunables de Cambrai."
46,Ils se laissèrent glisser par terre et partirent en trombe vers le salon.
47,"Le comte, qui avait de l'usage, la pria de ne point divulguer la triste vérité dont elle lui faisait confidence : - Si vous avez l'extrême indulgence, ajouta-t-il, de continuer à me recevoir avec toutes les 16 distinctions extérieures accordées à l'amant régnant, je trouverai peut-être une place convenable."
48,Quelle est la date du mariage ?
49,"Le soir en hiver, j'aime bien lire près de la cheminée et faire de la cuisine."
50,"La validation de la segmentation et l'identification du nombre optimal de compartiments ont été fondées sur des analyses statistiques utilisant les densités de campagnols terrestres estimées dans chaque tache annuellement de 1989 à 2004 ; dans le cas d'une partition bien adaptée pour distinguer des zones de même dynamique démographique, ces données sont supposées présenter une variabilité plus faible à l'intérieur des compartiments qu'entre les compartiments."
51,"Ici, c'est mon bureau."
52,"Finalement, Halloween aura mis une vingtaine d'années pour s'imposer et trouver sa place dans la société française"
53,J'aime bien faire la cuisine aussi de temps en temps.
54,Et toi ?
55,Cette évolution de la surcharge pondérale et de l'obésité est constatée dans toutes les grandes régions du globe.
56,"Loin de l'effervescence des cuisines, notre chef retrouve Maggie Chaulet, la créatrice et propriétaire du jardin tropical qui abrite son restaurant"
57,Les plans de rigueur se succèdent dans de nombreux pays pour remédier aux déficits mais le revers de la médaille est que cela entraîne un mécontentement général et que les gens votent de plus en plus pour des partis nationalistes proposant la sortie de l'euro.
58,"Dans un futur proche, la capacité de ces supports à transporter sous forme numérique des données d'un point à un autre va encore augmenter, entre autres grâce au développement des fibres optiques et des systèmes satellitaires."
59,Il souhaite faire fortune mais il n'en prend pas le chemin.
60,Aujourd'hui le greffe électronique est à la disposition des entrepreneurs.
61,Tu es en train de laver la vaisselle à la main ?
62,"Les galopins du village s'en faisaient un jeu, et leurs ébats avaient même tracé sur la pente du monticule un imperceptible sentier."
63,"Une preuve en est que deux millions d'emplois en Europe, nécessitant des compétences scientifiques et technologiques, ne sont pas pourvus ; rien que dans le secteur informatique, il manque cent mille programmeurs."
64,"Sous un soleil incandescent, un jeune couple yiddish se marie sous une houppa."
65,Les français sont attachés à leur pause dominicale.
66,Les canards eurent là une belle occasion de pondre des oeufs de toute couleur.
67,"Non, j'ai terminé mes études en juin dernier."
68,Nous entamions un nouveau programme de notre cursus.
